condition,task,seed,success,collision,viability,mean_gap,final_gap,architecture_score,boundary_precision,role_accuracy,blanket_accuracy,exact_partition,causal_changes,recovery_delay
random_design,construct,1009,1,0,0.8850586877803953,10.499737417184761,0.0,0.8242211298736655,0.8242211298736655,0.42073170731707316,0.551829268292683,0.0,3,43.0
random_design,construct,1010,1,0,0.9318238260344363,11.648477862990648,0.0,0.7856608532331412,0.7856608532331412,0.760670731707317,0.8170731707317073,1.0,3,71.0
random_design,construct,1011,1,0,0.9459665110485725,6.587084512055155,0.0,0.8029287485276874,0.8029287485276874,0.6387195121951219,0.7408536585365854,1.0,3,34.0
random_design,construct,1012,1,0,0.9416068365774255,2.204044563650891,0.0,0.7664699440963252,0.7664699440963252,0.7469512195121951,0.8384146341463414,1.0,3,11.0
random_design,construct,1013,0,0,0.9464574555425658,9.807992382267605,8.080186037169307,0.3086707432062334,0.8475064140856863,0.6814024390243902,0.7073170731707317,0.0,2,nan
random_design,construct,1014,1,0,0.9341933451286766,7.35653069488611,0.0,0.777713747461121,0.777713747461121,0.5792682926829268,0.7286585365853658,1.0,3,42.0
random_design,construct,1015,1,0,0.9227772139861924,6.905270085768914,0.0,0.7656076904732816,0.7656076904732816,0.49390243902439024,0.6280487804878049,1.0,3,47.0
random_design,construct,1016,0,0,0.9413207016763367,8.676048236085368,8.05970096614139,0.2912801518497628,0.7977124115399797,0.850609756097561,0.8902439024390244,0.0,2,nan
random_design,construct,1017,0,0,0.940942763674101,17.81473319921581,10.83467036440675,0.21736089352852622,0.8420950311595838,0.5899390243902439,0.7073170731707317,0.0,2,nan
random_design,construct,1018,1,0,0.9338678474243843,3.295320605235243,0.0,0.7283573747953951,0.7283573747953951,0.7682926829268293,0.801829268292683,1.0,3,23.0
random_design,construct,1019,1,0,0.9131159765722543,7.544423205781989,0.0,0.8444104069378292,0.8444104069378292,0.6448170731707317,0.7713414634146342,1.0,3,33.0
random_design,stabilize,1000,1,0,0.9639649509711133,0.0,0.0,0.8340523890200957,0.8340523890200957,0.8490853658536586,0.875,1.0,1,0.0
random_design,stabilize,1001,1,0,0.9584856373331995,2.732717374146595,0.0,0.8248583073290907,0.8248583073290907,0.7576219512195121,0.8109756097560976,0.0,1,35.0
random_design,stabilize,1002,1,0,0.9556133837714964,0.875038948088382,0.0,0.8167893232796363,0.8167893232796363,0.6646341463414634,0.7621951219512195,1.0,1,9.0
random_design,stabilize,1003,1,0,0.9514904135726501,0.24698569551022886,0.0,0.7800337414449156,0.7800337414449156,0.6875,0.7896341463414634,0.0,1,3.0
random_design,stabilize,1004,0,0,0.9396600000602406,3.348248621132783,6.239917884838368,0.35850922112421163,0.7820698952921483,0.7728658536585366,0.8445121951219512,0.0,0,nan
random_design,stabilize,1005,0,0,0.9528092578241827,4.343302192365005,7.268383260692456,0.3359064999164964,0.8332891949840595,0.6600609756097561,0.7560975609756098,0.0,0,nan
random_design,stabilize,1006,1,0,0.9516987010111772,2.5505616447278,0.0,0.8021383149935525,0.8021383149935525,0.7454268292682927,0.8353658536585366,0.0,1,34.0
random_design,stabilize,1007,1,0,0.9550330975648963,0.4382664337687422,0.0,0.8015305585867272,0.8015305585867272,0.6676829268292683,0.7408536585365854,1.0,1,5.0
random_design,stabilize,1008,1,0,0.913387752329447,0.7119660109099399,0.0,0.7398041843363452,0.7398041843363452,0.7484756097560976,0.8292682926829268,0.0,1,6.0
random_design,stabilize,1009,1,0,0.9456958080157494,0.8756580867987237,0.0,0.7613086597843719,0.7613086597843719,0.7484756097560976,0.8201219512195121,1.0,1,6.0
random_design,stabilize,1010,1,0,0.9357958760755136,1.2914233012366123,0.0,0.8023927051605955,0.8023927051605955,0.7972560975609756,0.8871951219512195,1.0,1,11.0
random_design,stabilize,1011,0,0,0.9585916247181759,5.456696199588968,9.321856007631153,0.25642146970783236,0.8222582000405102,0.7896341463414634,0.8353658536585366,1.0,0,nan
random_design,stabilize,1012,1,0,0.9452899625613465,3.7060527759510946,0.0,0.7910369126682828,0.7910369126682828,0.6798780487804879,0.801829268292683,1.0,1,33.0
random_design,stabilize,1013,1,0,0.9193061304964065,1.1517883025057845,0.0,0.7406387768678537,0.7406387768678537,0.7149390243902439,0.8079268292682927,1.0,1,8.0
random_design,stabilize,1014,1,0,0.9465379434609309,1.6572587715112148,0.0,0.7808780949480739,0.7808780949480739,0.739329268292683,0.8262195121951219,1.0,1,14.0
